SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.95925	0.905299	0.885211	0.920987	0.994089	0.966977	0.951011	0.969183	0.957699	0.884941	0.864636	0.913706	0.995102	0.950674	0.951229	0.97006	0.305556	0	0.611111	0.472222	15.3039	2.95825	0.313955	2.08121	0.297042	0.00018239	9.70364e-05	0.000106335
0.954502	0.897202	0.860651	0.901961	0.991875	0.963513	0.948757	0.972608	0.930973	0.884956	0.856637	0.897345	0.986865	0.955547	0.949132	0.970577	0.222222	0	0.555556	0.444444	15.4264	2.88328	0.232095	1.71167	0.300097	0.000325441	9.75132e-05	0.000112295
0.96434	0.894939	0.869824	0.914494	0.993556	0.965737	0.950611	0.97828	0.945183	0.875415	0.853821	0.888704	0.985264	0.950928	0.930302	0.965845	0.194444	0	0.527778	0.527778	15.4273	2.90425	0.206181	1.90775	0.306078	0.000180483	9.65595e-05	0.000106573
0.951085	0.903883	0.872097	0.896079	0.989508	0.964076	0.952583	0.973512	0.960993	0.916667	0.874113	0.898936	0.993315	0.971664	0.956847	0.979567	0.222222	0	0.583333	0.472222	14.9773	2.84416	0.248623	2.0203	0.291456	0.000181675	9.65595e-05	0.00010705
0.953955	0.907719	0.867405	0.897019	0.991884	0.964624	0.949529	0.97373	0.929795	0.895548	0.861301	0.892123	0.986793	0.952649	0.937038	0.967812	0.194444	0.0277778	0.5	0.444444	15.1086	3.17102	0.37811	2.29626	0.321886	0.000185728	0.000103235	0.000107288
0.955983	0.899581	0.884146	0.912348	0.993184	0.963136	0.951331	0.974318	0.947368	0.880702	0.885965	0.9	0.992333	0.953446	0.953459	0.975119	0.277778	0.0277778	0.555556	0.472222	15.7716	3.35216	0.231525	2.08626	0.310961	0.000182867	9.72748e-05	0.000107288
0.946537	0.898212	0.889079	0.909627	0.991986	0.961207	0.960024	0.965551	0.928826	0.880783	0.895018	0.88968	0.990037	0.944986	0.954453	0.955876	0.277778	0	0.583333	0.5	18.1067	3.2157	0.441832	1.74343	0.336061	0.000179291	0.000103474	0.000106573
0.953608	0.916953	0.898053	0.893853	0.993371	0.961211	0.958709	0.975191	0.946552	0.913793	0.913793	0.896552	0.987054	0.95674	0.963687	0.975031	0.25	0	0.583333	0.5	15.9356	3.0847	0.450446	2.1126	0.307838	0.000181437	9.9659e-05	0.000105619
0.957598	0.896201	0.88066	0.903684	0.994168	0.963718	0.95279	0.97165	0.940594	0.884488	0.854785	0.887789	0.98907	0.954516	0.944154	0.971816	0.25	0	0.555556	0.5	17.1879	2.9911	0.28526	2.80387	0.309393	0.000185013	0.000100136	0.000106812
0.957504	0.906776	0.864472	0.908116	0.990706	0.963004	0.950158	0.977357	0.952862	0.887205	0.843434	0.89899	0.988516	0.942591	0.944251	0.972575	0.194444	0	0.583333	0.5	16.5908	3.21222	0.307978	2.09742	0.314857	0.000198126	0.000103951	0.000110149
