quiz_id	num_items	num_students	num_skills	frac_nans	VIBO_fixed_train_acc_mean	VIBO_fixed_train_acc_std	SparFAE_fixed_train_acc_mean	SparFAE_fixed_train_acc_std	VIBO_fixed_train_auc_mean	VIBO_fixed_train_auc_std	SparFAE_fixed_train_auc_mean	SparFAE_fixed_train_auc_std	VIBO_fixed_test_acc_mean	VIBO_fixed_test_acc_std	SparFAE_fixed_test_acc_mean	SparFAE_fixed_test_acc_std	VIBO_fixed_test_auc_mean	VIBO_fixed_test_auc_std	SparFAE_fixed_test_auc_mean	SparFAE_fixed_test_auc_std	VIBO_fixed_sparsity_mean	VIBO_fixed_sparsity_std	SparFAE_fixed_sparsity_mean	SparFAE_fixed_sparsity_std	VIBO_fixed_train_time_mean	VIBO_fixed_train_time_std	SparFAE_fixed_train_time_mean	SparFAE_fixed_train_time_std	VIBO_fixed_pred_time_mean	VIBO_fixed_pred_time_std	SparFAE_fixed_pred_time_mean	SparFAE_fixed_pred_time_std
2	15	96	1	0.0763889	0.73706	0.00615887	0.755303	0.00561175	0.804152	0.00571588	0.826192	0.00549494	0.725015	0.0446211	0.746764	0.0449362	0.787635	0.0501937	0.80627	0.0486242	0.9375	0	0.9375	0	0.44767	0.0943932	0.0326738	0.000703686	0.000151801	2.38192e-06	5.44548e-05	1.28336e-05
3	20	382	9	0.162958	0.892769	0.00374853	0.890106	0.00192553	0.959725	0.000719253	0.962278	0.000728139	0.88783	0.013254	0.887691	0.0158273	0.957482	0.00653435	0.960759	0.00629591	0.9375	0	0.9375	0	1.51757	0.00881006	0.0501515	0.000973951	0.000195551	3.00218e-06	8.40664e-05	1.14521e-05
5	17	2715	5	0.170122	0.795281	0.00110748	0.797088	0.000401243	0.884527	0.000715604	0.886665	0.00048677	0.795314	0.00414771	0.796979	0.00367589	0.883934	0.00390521	0.886189	0.00430445	0.9375	0	0.9375	0	12.3465	1.60617	0.0760375	0.0325784	0.00484204	0.00476041	0.000178337	1.40445e-05
8	16	660	2	0.159091	0.756708	0.00285346	0.757954	0.00261035	0.822903	0.00203309	0.826913	0.00230854	0.754353	0.0150151	0.755618	0.0150598	0.818693	0.0201936	0.822374	0.0212745	0.9375	0	0.9375	0	2.64936	0.157325	0.0365891	0.000594049	0.000208163	1.88792e-05	8.06332e-05	7.95318e-06
9	16	2860	2	0.148383	0.755291	0.00150055	0.757906	0.00100074	0.839889	0.000447974	0.841769	0.000520072	0.755447	0.00444491	0.756888	0.00488325	0.8393	0.00466521	0.841059	0.00472465	0.9375	0	0.9375	0	12.6987	0.883939	0.0667033	0.0293665	0.00405748	0.00899385	0.000165033	4.11132e-06
10	17	94	2	0.166458	0.75864	0.00949643	0.778339	0.00589087	0.826247	0.00818749	0.861944	0.00346755	0.758399	0.0206551	0.77059	0.0355249	0.809398	0.0245739	0.839197	0.0364124	0.9375	0	0.9375	0	0.540857	0.0742171	0.0487037	0.0129635	0.000157619	1.77922e-06	6.98805e-05	4.93066e-06
12	12	690	3	0.103865	0.784596	0.00357334	0.785898	0.00262161	0.867211	0.00142477	0.871459	0.00125935	0.785232	0.0174158	0.784967	0.0181344	0.865204	0.0118701	0.869634	0.0113398	0.9375	0	0.9375	0	3.39922	0.322421	0.0316007	0.00928291	0.000202298	6.95206e-06	7.77245e-05	1.53631e-05
17	14	2503	3	0.126106	0.835422	0.00173324	0.835244	0.0011237	0.906135	0.00074627	0.909796	0.000588216	0.835603	0.00872887	0.835119	0.0103747	0.905158	0.00616187	0.908951	0.00550744	0.9375	0	0.9375	0	11.3438	0.874539	0.055572	0.0124696	0.000317955	6.94816e-05	0.000145626	5.26986e-06
18	14	1824	4	0.215813	0.828445	0.00160073	0.828978	0.000925953	0.912804	0.000836654	0.913001	0.000774062	0.828731	0.00807088	0.829094	0.00775513	0.912221	0.00684638	0.912457	0.00659165	0.9375	0	0.9375	0	8.63742	0.749055	0.0422751	0.0124461	0.000271249	3.13117e-05	0.000130677	2.13368e-06
19	10	1106	5	0.102893	0.835397	0.00263078	0.835363	0.00198368	0.935722	0.00112744	0.936515	0.0009238	0.83183	0.0172583	0.832939	0.0177173	0.934743	0.00852188	0.935778	0.00845761	0.9375	0	0.9375	0	5.21956	0.493378	0.038793	0.00860813	0.000216317	2.27287e-05	7.66277e-05	4.68685e-06
32	12	2885	3	0.112767	0.796115	0.000716174	0.797789	0.000565945	0.887365	0.000509767	0.887537	0.000484158	0.796289	0.00573463	0.797794	0.0053708	0.886716	0.00418894	0.886801	0.00427853	0.9375	0	0.9375	0	12.9725	0.835992	0.0518737	0.0153019	0.000293756	4.27785e-05	0.000140071	6.55131e-06
33	18	82	4	0.052168	0.804273	0.00804276	0.823462	0.004364	0.837393	0.0146005	0.88109	0.00283117	0.787378	0.0272607	0.817554	0.0315637	0.801712	0.039545	0.857185	0.0305567	0.9375	0	0.9375	0	0.408291	0.0573057	0.040816	0.00669204	0.000162673	1.60199e-05	0.000207639	0.000405632
34	16	127	3	0.117126	0.790074	0.0076988	0.798108	0.00529704	0.86617	0.0043039	0.887158	0.00340102	0.782493	0.0357992	0.781839	0.0371802	0.852381	0.0353284	0.870057	0.0301508	0.9375	0	0.9375	0	0.616387	0.0594649	0.0352384	0.00381445	0.000155735	3.92892e-06	6.21557e-05	8.85432e-06
36	5	1378	3	0.0637155	0.876729	0.000933505	0.876454	0.000784738	0.960247	0.000550946	0.96017	0.000574335	0.876795	0.00759643	0.876492	0.00711256	0.959912	0.00529031	0.959756	0.00509617	0.9375	0	0.9375	0	6.03387	0.589355	0.0154068	0.00314637	0.000214744	2.41947e-05	6.14166e-05	8.34124e-07
37	16	3276	2	0.156536	0.7719	0.000800891	0.778588	0.000838778	0.853326	0.000862082	0.856459	0.000699567	0.771785	0.0077413	0.778176	0.00625429	0.852779	0.00697459	0.855815	0.00635172	0.9375	0	0.9375	0	14.0208	0.586962	0.0626481	0.00817196	0.000351238	5.81405e-05	0.000177145	2.93942e-06
39	13	2705	4	0.189507	0.826527	0.00493727	0.82454	0.00172376	0.910068	0.000771764	0.911078	0.000652585	0.825107	0.00634223	0.822972	0.00786699	0.909308	0.00611567	0.910576	0.0059911	0.9375	0	0.9375	0	11.6147	0.457563	0.051137	0.0147608	0.000302315	3.29373e-05	0.000147343	5.60765e-06
43	8	58	2	0.383621	0.784351	0.028045	0.843018	0.00775887	0.858676	0.0108905	0.91354	0.00662952	0.75232	0.117835	0.817124	0.0649072	0.783872	0.115051	0.864207	0.0986917	0.9375	0	0.9375	0	0.354523	0.0356214	0.0245051	0.00857233	0.00051527	0.00108013	5.41687e-05	6.33296e-06
46	18	3014	3	0.128806	0.80508	0.00140822	0.806338	0.00104638	0.886527	0.000849395	0.886831	0.000814274	0.804641	0.00989619	0.805962	0.00974773	0.885821	0.00766387	0.886135	0.00707101	0.9375	0	0.9375	0	13.4557	0.715408	0.086181	0.0206993	0.00251887	0.00387738	0.000186396	5.9172e-06
47	12	912	3	0.0664291	0.804421	0.00137319	0.804847	0.00165881	0.891339	0.0012104	0.893212	0.00111881	0.803158	0.0121538	0.803006	0.0116287	0.889713	0.010098	0.89124	0.00990777	0.9375	0	0.9375	0	3.96493	0.248316	0.0307411	0.00267306	0.000205684	2.94145e-06	7.50303e-05	1.39449e-06
49	13	2454	4	0.145477	0.809525	0.00115662	0.811159	0.000846882	0.897277	0.000654537	0.898062	0.000742445	0.809348	0.00858477	0.811301	0.00764969	0.896638	0.00692398	0.897291	0.00631666	0.9375	0	0.9375	0	10.6961	0.833447	0.0478053	0.0243764	0.000305676	6.71926e-05	0.000137949	2.71462e-06
50	11	1625	2	0.109818	0.799446	0.00227206	0.80263	0.0021101	0.872251	0.00216831	0.873085	0.00200461	0.799222	0.0187178	0.801916	0.0188268	0.870659	0.019915	0.871381	0.019061	0.9375	0	0.9375	0	7.69458	0.375401	0.0312645	0.00721981	0.000239515	1.9214e-05	8.7285e-05	8.18401e-06
53	14	3106	3	0.129059	0.830654	0.00323182	0.831262	0.00141861	0.914406	0.000845057	0.914322	0.000771236	0.830082	0.00977204	0.83038	0.00933456	0.914014	0.00665934	0.913958	0.00664701	0.9375	0	0.9375	0	13.6143	0.645908	0.0590656	0.0116946	0.00272737	0.0030813	0.000182128	5.60067e-05
57	13	2870	4	0.190056	0.859585	0.00093835	0.860559	0.00110771	0.932428	0.000643547	0.933206	0.000746717	0.859759	0.00923581	0.860717	0.00914422	0.931827	0.00688908	0.932769	0.0068814	0.9375	0	0.9375	0	11.9571	0.738698	0.0497388	0.000829083	0.000293946	2.37957e-05	0.000150061	1.98389e-06
60	11	1382	3	0.100645	0.813798	0.00227089	0.813709	0.00281939	0.895145	0.00127651	0.89761	0.00127971	0.813113	0.0143815	0.81103	0.0143594	0.894063	0.0124481	0.896356	0.0114103	0.9375	0	0.9375	0	5.49127	0.111974	0.0321421	0.000852027	0.00022831	8.54404e-06	8.13484e-05	9.76061e-07
62	17	3024	3	0.171608	0.779515	0.00151878	0.782837	0.000687866	0.866109	0.000683314	0.867529	0.000629418	0.779011	0.00547775	0.782398	0.00608462	0.865506	0.00543213	0.866905	0.00537067	0.9375	0	0.9375	0	12.0384	0.25367	0.0599647	0.00138223	0.00173752	0.00420189	0.000179362	3.50248e-06
63	12	2934	3	0.135452	0.801313	0.0015527	0.800735	0.000508203	0.89329	0.000470831	0.893755	0.000584953	0.800987	0.00503798	0.800815	0.00397227	0.892827	0.00515443	0.893215	0.00535999	0.9375	0	0.9375	0	11.3663	0.21284	0.0427896	0.00897047	0.000303507	4.78621e-05	0.000142837	7.217e-06
64	18	3354	3	0.155668	0.814882	0.0012868	0.813595	0.00057464	0.885223	0.000645552	0.886129	0.000493059	0.814365	0.00593589	0.813448	0.00613012	0.884726	0.00423186	0.885543	0.00429827	0.9375	0	0.9375	0	20.2771	3.53188	0.127418	0.0267339	0.010278	0.00658185	0.000435519	0.00045902
