quiz_id	num_items	num_students	num_skills	frac_nans	SPARFA_train_acc_mean	SPARFA_train_acc_std	VIBO_train_acc_mean	VIBO_train_acc_std	QFactor_train_acc_mean	QFactor_train_acc_std	Q2Factor_train_acc_mean	Q2Factor_train_acc_std	SPARFA_train_auc_mean	SPARFA_train_auc_std	VIBO_train_auc_mean	VIBO_train_auc_std	QFactor_train_auc_mean	QFactor_train_auc_std	Q2Factor_train_auc_mean	Q2Factor_train_auc_std	SPARFA_test_acc_mean	SPARFA_test_acc_std	VIBO_test_acc_mean	VIBO_test_acc_std	QFactor_test_acc_mean	QFactor_test_acc_std	Q2Factor_test_acc_mean	Q2Factor_test_acc_std	SPARFA_test_auc_mean	SPARFA_test_auc_std	VIBO_test_auc_mean	VIBO_test_auc_std	QFactor_test_auc_mean	QFactor_test_auc_std	Q2Factor_test_auc_mean	Q2Factor_test_auc_std	SPARFA_sparsity_mean	SPARFA_sparsity_std	VIBO_sparsity_mean	VIBO_sparsity_std	QFactor_sparsity_mean	QFactor_sparsity_std	Q2Factor_sparsity_mean	Q2Factor_sparsity_std	SPARFA_train_time_mean	SPARFA_train_time_std	VIBO_train_time_mean	VIBO_train_time_std	QFactor_train_time_mean	QFactor_train_time_std	Q2Factor_train_time_mean	Q2Factor_train_time_std	SPARFA_pred_time_mean	SPARFA_pred_time_std	VIBO_pred_time_mean	VIBO_pred_time_std	QFactor_pred_time_mean	QFactor_pred_time_std	Q2Factor_pred_time_mean	Q2Factor_pred_time_std
2	15	96	1	0.0763889	0.773094	0.00747823	0.709825	0.0352158	0.755148	0.00787583	0.753955	0.00689577	0.845458	0.00697112	0.785211	0.0330612	0.829399	0.0056184	0.829588	0.00585002	0.752658	0.0573865	0.69143	0.0318807	0.733354	0.0327461	0.735368	0.0344131	0.820783	0.0525918	0.75609	0.0457206	0.810564	0.0411196	0.805874	0.0427796	0.00666667	0.02	0.0133333	0.04	0.08	0.0266667	0.0733333	0.02	0.72954	0.13837	0.522659	0.10721	0.0427547	0.014462	0.14543	0.0427251	0.0105583	0.0056373	0.000167799	1.14817e-05	8.35419e-05	2.78993e-05	8.20637e-05	3.01523e-05
3	20	382	9	0.162958	0.978853	0.00404251	0.931585	0.00258647	0.905057	0.00770276	0.918152	0.00628846	0.99014	0.00316665	0.98284	0.00101966	0.972045	0.00275657	0.981232	0.00163695	0.954698	0.0101268	0.891416	0.0158583	0.881617	0.0168409	0.901783	0.0166391	0.982076	0.00878223	0.960842	0.00761191	0.95833	0.0105786	0.974214	0.00705027	0.290556	0.0233135	0.00166667	0.00254588	0.728889	0.0166296	0.580556	0.0206753	17.316	1.83388	1.79545	0.292539	1.20784	0.306759	7.15512	2.01585	0.326867	0.0673551	0.000183725	1.4169e-05	0.00014112	3.51609e-06	0.000148678	5.18658e-06
5	17	2715	5	0.170122	0.874015	0.00891657	0.827669	0.00274477	0.803951	0.0066682	0.820001	0.00823783	0.961177	0.00125946	0.913373	0.00200458	0.893943	0.00231649	0.917055	0.0014654	0.868713	0.00894934	0.823596	0.00673471	0.799067	0.0116463	0.817089	0.00968868	0.957715	0.00479531	0.909938	0.00560982	0.889189	0.00810548	0.9148	0.00407386	0.230588	0.0303155	0	0	0.528235	0.0243674	0.365882	0.0381038	65.661	4.19383	11.2776	0.907548	4.45664	1.38315	38.7607	17.8226	1.45794	0.144256	0.000282097	1.42883e-05	0.000190353	2.02931e-05	0.000202179	5.66414e-06
8	16	660	2	0.159091	0.774856	0.00399786	0.763961	0.00269675	0.761941	0.00377252	0.769811	0.00655683	0.864178	0.00307316	0.837382	0.00356135	0.830934	0.00535201	0.835825	0.00470377	0.767459	0.0156525	0.758419	0.0119481	0.755416	0.0118393	0.767112	0.014805	0.852315	0.0190102	0.82811	0.0169487	0.821618	0.0186124	0.83026	0.0164107	0.10625	0.0207289	0.003125	0.009375	0.340625	0.0616346	0.20625	0.0423896	6.55766	0.784776	2.83435	0.208129	0.55337	0.101523	4.03623	1.3837	0.128937	0.022033	0.000180125	4.04083e-06	0.000129414	3.14821e-06	0.000131702	3.4372e-06
9	16	2860	2	0.148383	0.763001	0.00452474	0.771782	0.0021829	0.759304	0.00322588	0.768311	0.00573676	0.867318	0.000886669	0.856994	0.00180734	0.846262	0.00235879	0.855173	0.00183552	0.762309	0.00871829	0.771269	0.00728431	0.757306	0.00637326	0.768271	0.00778286	0.865828	0.00629865	0.856107	0.00542661	0.845192	0.00548685	0.853837	0.00624086	0.053125	0.0200098	0	0	0.371875	0.040625	0.234375	0.0447432	31.1528	2.57464	13.4947	1.97197	2.10361	1.08024	10.7891	3.7907	0.662533	0.0923114	0.000286031	3.30868e-05	0.000182009	6.79238e-06	0.00047555	0.000817049
10	17	94	2	0.166458	0.811901	0.00623702	0.775305	0.00758016	0.788764	0.00767631	0.788869	0.00422573	0.909756	0.0026953	0.864843	0.00531248	0.873648	0.00434232	0.87755	0.00328345	0.768663	0.0379337	0.733079	0.0286741	0.754427	0.0348839	0.760963	0.0370454	0.861035	0.036734	0.833512	0.0303977	0.84109	0.0335622	0.844478	0.0416035	0.176471	0.0263067	0	0	0.441176	0.032219	0.305882	0.0459426	1.16605	0.141352	0.471009	0.0375455	0.104955	0.0237472	0.486312	0.148315	0.0155262	0.00268979	0.000170422	3.82482e-06	0.000113463	7.89266e-06	0.000556946	0.00129645
12	12	690	3	0.103865	0.837549	0.0077867	0.8126	0.00366184	0.794751	0.00560796	0.796304	0.00807249	0.936446	0.00217085	0.896323	0.00168557	0.878869	0.00445339	0.89086	0.00517196	0.831138	0.0145515	0.807631	0.0112831	0.787553	0.0147028	0.787866	0.00751789	0.92913	0.00590734	0.885685	0.00676236	0.872927	0.00553728	0.882923	0.00510785	0.186111	0.0431227	0.00555556	0.0111111	0.466667	0.0368514	0.344444	0.030932	10.6534	0.671038	2.86485	0.131246	0.448052	0.0861944	2.81561	0.709888	0.195727	0.0115794	0.000638556	0.00137486	0.000112247	2.31106e-06	0.000117326	2.68356e-06
17	14	2503	3	0.126106	0.871482	0.00419736	0.849469	0.00374887	0.840698	0.00337575	0.851383	0.0011524	0.952546	0.000953397	0.925718	0.0024179	0.916748	0.00109705	0.929978	0.00148044	0.867493	0.0124235	0.848979	0.00831579	0.839427	0.0120489	0.849911	0.011385	0.950521	0.00597445	0.923422	0.00517655	0.914958	0.00571516	0.92885	0.00602114	0.152381	0.024281	0	0	0.497619	0.0327327	0.37381	0.0337558	44.1849	3.34161	11.0476	0.93227	2.31221	0.256092	13.6445	4.68601	0.839631	0.0883618	0.000267768	1.52865e-05	0.000160003	7.12185e-06	0.000174093	2.01482e-05
18	14	1824	4	0.215813	0.888867	0.00573489	0.851115	0.0035526	0.819953	0.0101117	0.83821	0.00547533	0.970041	0.00130763	0.934372	0.00192026	0.916745	0.00486078	0.93107	0.00291399	0.880013	0.0132284	0.846694	0.011415	0.818681	0.0182244	0.83583	0.0104052	0.965619	0.00596992	0.930143	0.00597555	0.914604	0.0108536	0.92899	0.00533193	0.2125	0.0258158	0.00178571	0.00535714	0.498214	0.0270228	0.314286	0.0460146	40.0031	2.00937	7.9422	0.415762	2.27517	0.34974	17.9802	9.00093	0.758094	0.107537	0.000259495	1.31014e-05	0.000155902	2.03041e-05	0.000171137	1.97858e-05
19	10	1106	5	0.102893	0.961174	0.00382667	0.901082	0.00494169	0.85225	0.0118042	0.897039	0.00708638	0.996493	0.000296787	0.970685	0.00154433	0.948043	0.00400498	0.978298	0.00141576	0.955507	0.00824168	0.889068	0.0136711	0.843573	0.0129398	0.892757	0.00948332	0.995599	0.0012887	0.96426	0.00688002	0.944325	0.00513703	0.976742	0.00120827	0.33	0.0412311	0	0	0.612	0.0401995	0.532	0.0391918	30.7603	0.985584	4.63485	0.214186	0.676669	0.125613	3.46185	1.04597	0.648277	0.0296953	0.000196767	2.34675e-05	0.000110674	1.66484e-06	0.000122046	2.68144e-06
